"","time","latitude","longitude","haul_no","station","species_group","station_latitude","station_longitude","station_bottom_depth","area","catch"
"46",2012-05-29 07:36:34,34.9997,-120.975,62,494,"Euphausiid",35,-120.975,374,"Point Sal",1502
"47",2012-05-29 09:39:38,35.001,-121.1203,63,495,"Euphausiid",35,-121.1167,532,"Point Sal",103
"48",2012-05-30 04:25:08,35.7075,-121.3695,64,441,"Euphausiid",35.7033,-121.3633,60,"Piedras Blancas",1919
"49",2012-05-30 05:58:01,35.7043,-121.4317,65,442,"Euphausiid",35.7033,-121.43,167,"Piedras Blancas",5135
"50",2012-05-30 07:28:18,35.7095,-121.5078,66,443,"Euphausiid",35.7033,-121.5083,557,"Piedras Blancas",924
"51",2012-05-31 04:38:23,36.8495,-121.9888,67,119,"Euphausiid",36.8467,-121.9833,91,"Monterey Bay Inside",24108
"52",2012-05-31 06:34:12,36.7698,-121.8718,68,114,"Euphausiid",36.7667,-121.8667,73,"Monterey Bay Inside",40454
"53",2012-05-31 07:49:21,36.7445,-121.977,69,116,"Euphausiid",36.74,-121.9767,287,"Monterey Bay Inside",34848
"54",2012-05-31 09:05:43,36.7042,-121.9088,70,115,"Euphausiid",36.7083,-121.9083,91,"Monterey Bay Inside",41625
"55",2012-05-31 10:53:18,36.653,-121.9373,72,112,"Euphausiid",36.655,-121.9467,73,"Monterey Bay Inside",16200
"56",2012-06-01 04:35:40,36.5678,-122.1508,73,110,"Euphausiid",36.5833,-122.175,2304,"Monterey Bay Outside",16765
"57",2012-06-01 06:34:14,36.59,-122.044,74,109,"Euphausiid",36.5833,-122.0333,608,"Monterey Bay Outside",51984
"58",2012-06-01 07:55:46,36.6472,-122.0518,75,113,"Euphausiid",36.6467,-122.05,900,"Monterey Bay Outside",32448
"59",2012-06-01 09:18:08,36.6998,-122.1083,76,117,"Euphausiid",36.7,-122.1083,1920,"Monterey Bay Outside",48938
"60",2012-06-02 04:17:44,36.9842,-122.2992,78,123,"Euphausiid",36.9833,-122.2917,82,"Davenport",47970
"61",2012-06-02 05:54:15,36.9867,-122.3748,79,124,"Euphausiid",36.9833,-122.375,128,"Davenport",10935
"62",2012-06-02 07:17:07,36.9863,-122.4253,80,125,"Euphausiid",36.9833,-122.425,446,"Davenport",4920
"63",2012-06-02 09:00:46,36.9897,-122.5893,81,126,"Euphausiid",36.9833,-122.5917,432,"Davenport",18360
"64",2012-06-02 11:00:17,36.9845,-122.7517,82,127,"Euphausiid",36.9833,-122.7583,1045,"Davenport",15358
"65",2012-06-03 07:19:08,37.2683,-122.8263,83,133,"Euphausiid",37.275,-122.8167,184,"Pescadero",86
"66",2012-06-03 08:57:36,37.2732,-122.6645,84,132,"Euphausiid",37.275,-122.65,95,"Pescadero",1051380
"67",2012-06-03 10:14:36,37.2805,-122.5747,85,131,"Euphausiid",37.275,-122.5667,82,"Pescadero",395888
"68",2012-06-10 04:34:25,37.7887,-122.8717,86,139,"Euphausiid",37.7917,-122.8667,55,"Gulf of the Farallones",123
"69",2012-06-10 06:49:21,37.7043,-122.9217,87,138,"Euphausiid",37.7,-122.9083,55,"Gulf of the Farallones",3090
"70",2012-06-10 09:08:40,37.5977,-122.8402,88,237,"Euphausiid",37.5967,-122.8317,74,"Gulf of the Farallones",770
"71",2012-06-10 11:17:12,37.6607,-123.0452,89,152,"Euphausiid",37.6583,-123.0417,108,"Farallones Outside",2700
"72",2012-06-11 04:40:56,36.9793,-122.2892,90,123,"Euphausiid",36.9833,-122.2917,82,"Davenport",34965
"73",2012-06-11 06:21:03,36.9822,-122.3757,91,124,"Euphausiid",36.9833,-122.375,128,"Davenport",191250
"74",2012-06-11 07:59:30,36.9905,-122.4288,92,125,"Euphausiid",36.9833,-122.425,446,"Davenport",206344
"75",2012-06-11 10:36:42,36.9798,-122.5917,93,126,"Euphausiid",36.9833,-122.5917,432,"Davenport",9e+05
"76",2012-06-12 04:39:09,36.2987,-121.9373,94,101,"Euphausiid",36.3,-121.9383,65,"Point Sur",45402
"77",2012-06-12 05:57:44,36.3037,-122.0148,95,103,"Euphausiid",36.3,-122.015,102,"Point Sur",48960
"78",2012-06-12 07:45:09,36.2963,-122.0913,96,104,"Euphausiid",36.3,-122.09,354,"Point Sur",8268
"79",2012-06-12 09:37:03,36.299,-122.1973,97,105,"Euphausiid",36.3,-122.1917,828,"Point Sur",2753
"80",2012-06-13 04:40:49,36.6563,-121.9463,98,112,"Euphausiid",36.655,-121.9467,73,"Monterey Bay Inside",54264
"81",2012-06-13 07:29:21,36.708,-121.9117,100,115,"Euphausiid",36.7083,-121.9083,91,"Monterey Bay Inside",6786
"82",2012-06-13 09:05:27,36.7412,-121.9818,101,116,"Euphausiid",36.74,-121.9767,287,"Monterey Bay Inside",62213
"83",2012-06-13 10:46:50,36.7692,-121.8705,102,114,"Euphausiid",36.7667,-121.8667,73,"Monterey Bay Inside",321180
